No.,Exercise name,Equipment,Body part,Instruction
292,Tricep Extension,Weight Machines/Selectorized,Triceps,"Adjust the seat to a comfortable height and the weight to the appropriate level before beginning. Sitting with a tall back, rest the upper arms on the pad and grasp the handles. Keeping the elbows in a straight line with the shoulders, press the hands downward. Slowly return to the starting position."
71,Standing Shoulder Press,Barbell,Triceps,"Place a barbell in a rack at about shoulder-height. Grip the bar with the hands about shoulder-width apart and the palm facing the ceiling. Dip under the bar to bring it off the rack letting it rest across the top of the shoulders so that the palms are facing the ceiling and the elbows are pointed straight ahead. Step back, keeping the back straight and tall and press the barbell directly overhead. Slowly return the weight to the shoulders and repeat for the desired number of reps."
333,Tricep Pressdown,Resistance Bands/Cables,Triceps,"Stand with the feet hip-width apart, the hips straight, the back tall, and the knees slightly bent. Place the cable pulley at the highest position, use a straight bar attachment, and grip the bar firmly in both hands. Pull the elbows in close to the sides and slowly push the hands down towards the floor. Straighten the arms completely before bending the elbows to return to the starting position."
55,Tricep Kickback,Dumbbells,Triceps,"Hold a dumbbell in your left hand and assume a split-stance position placing your right leg forward, but keeping your weight evenly distributed through the heels of both feet. Stiffen your torso by contracting your abdominal and core muscles (""bracing""). Place your right hand on your right thigh or knee and slowly lean forward, transferring most of your upper extremity body weight into that right side. Depress and retract your left scapula (pull your shoulder down and back) and maintain this position throughout the exercise. Your head should be aligned with your spine. Position your left upper arm parallel to your torso. Bend your elbow to a point where your forearm hangs vertical to the floor. Exhale and slowly extend (straighten) your elbow by contracting your triceps muscles until your elbow is fully extended. Your upper arm should remain stationary next to your torso and not raised during the movement. Avoid any arching (sagging) in your low back or any rotation in your torso. Inhale and slowly return your arm to your starting position, without changing your torso position. "
3,Triceps Pressdown,Resistance Bands/Cables,Triceps,"Stand with the feet hip-width apart, the hips straight, the back straight and tall, and the knees slightly bent. Place the cable pulley at the highest position, use a rope attachment, and grip the ends firmly in both hands. Pull the elbows close to the sides, and slowly push the hands down towards the floor, straightening the arms all the way then bending the elbows to return to the starting position."
34,Incline Reverse Fly,Bench and Dumbbells,Back,"Holding two dumbbells, sit on a bench facing the backrest angled at 45 to 60 degrees. Hold your torso against the backrest and keep your feet firmly placed on the floor. Allow your arms to hang towards the floor with your elbows slightly flexed and palms facing each other. Stiffen your core and abdominal muscles to stabilize your spine. Exhale and slowly raise the dumbbells up and out to the sides, raising the upper arms, elbows and dumbbells in unison until the arms are near level with the shoulders. Squeeze your scapulae (shoulder blades) together as you reach the end position. In the raised position, the dumbbells should be aligned with, or slightly in front of your ears. Avoid arching your back during the upward phase by keeping your torso firmly pressed into the backrest. Gently inhale and lower the dumbbells in unison back to your starting position. "
35,Kneeling Lat Pulldown,Resistance Bands/Cables,Back,Position yourself on your knees in front of a pull-down machine. Grab the bar with the palms facing forward. Bring the bar down until it touches your upper chest Pause. Return to the starting position.
158,Seated Lat Pulldown,Weight Machines/Selectorized,Back,"Sit in the machine, anchoring your lower extremity by adjusting the thigh pad to fit firmly against the top of your thighs. Stiffen your abdominal muscles to stabilize your spine, and attempt to avoid any arching of your low back throughout the exercise. Reach up to grasp the bar, firmly gripping the bar with both hands. While your arms are extended overhead, depress and retract your scapulae (pull shoulders back and down) and attempt to hold this position throughout the exercise. Lean back slightly (no more than a 30 degree angle), using your legs to support your body. Maintain your head aligned with your spine. Slowly exhale and initiate the downward pull by first depressing (lower) your scapulae, then pulling the bar downward towards the top or mid-section of your chest. Attempt to pull in a motion that drives your elbows directly down towards the floor, bringing your elbows towards the sides of your torso. Continue pulling until the bar nears or touches your chest, or more importantly, you observe your elbows no longer moving downward, but now beginning to move backwards. Pause momentarily, then slowly return to your starting position by allowing the bar to move upwards until your elbows are fully extended, then allow your scapule to rise slightly. Repeat the movement. "
169,Seated High Back Rows,Weight Machines/Selectorized,Back,"Adjust the seat height to a level that positions the machine handles approximately level with your shoulders. Position your feet firmly on the floor or foot pads to stabilize your body. Sit upright and extend your arms to grasp the handles without rounding your shoulders forward. Adjust the position the chest pad to contact your chest lightly. Stiffen your abdominal muscles to stabilize your spine, but do not press your low back into the back rest. Maintain the natural arch in your low back and avoid arching your back throughout the exercise. From this start position with your torso vertical gently exhale and perform a pulling movement. Flex your elbows and pull them towards your chest, but try to flair your elbows out from your sides, keeping them as level with your shoulders as possible. Continue to maintain a neutral wrist position and contact with your chest against the chest pad.  Avoid leaning back and arching your low back and attempt to minimize any movement of your head during the movement. Continue pulling until your elbows reach level with or pass just behind your shoulders. Pause momentarily then slowly return to your starting position. Repeat the movement for a specific number of repetitions. "
168,Seated Row,Weight Machines/Selectorized,Back,"Adjust the seat height to a level that positions the machine handles approximately level, or near level, with your shoulders. Position your feet firmly on the floor or foot pads to stabilize your body. Sit upright and extend your arms to grasp the handles without rounding your shoulders forward. Adjust the position the chest pad to contact your chest lightly. Stiffen your abdominal muscles to stabilize your spine, but do not press your low back into the back rest. Maintain the natural arch in your low back and avoid arching your back throughout the exercise. Depress and retract your scapulae, maintain a neutral wrist position and attempt to hold these positions throughout the exercise. Then gently exhale and perform a pulling movement. Flex your elbows and pull them towards your chest keeping your elbows close to the sides of your body.  Continue to maintain a neutral wrist position and contact with your chest against the chest pad.  Avoid leaning back and arching your low back and attempt to minimize any movement of your head during the movement. Continue pulling until your elbows pass the sides of your body. Pause momentarily then slowly return to your starting position."
366,Bulgarian Split Squat,Bench and Dumbbells,Butt/Hips,"Start with the feet hip-width apart with your right foot forward and the left foot placed behind the body on a bench or box that is about knee-height. Hold a dumbbell in both hands in a vertical position in front of the chest and keep the elbows close to the rib cage during the exercise. Keep the back straight while lowering the left knee towards the floor. Before the left knee hits the floor, press the right foot into the ground, pull back on the right knee, and push the top of the left foot into the box to return to standing."
367,Elevated Glute Bridge,Bench and Dumbbells,Butt/Hips,"Lie on a flat bench so that the body is perpendicular to the bench with the upper back and shoulders lying across the pad. Press the feet into the ground about hip-width apart, hold one dumbbell in each hand and rest them on top of the hips to add external resistance. Slowly lower the tailbone towards the floor while holding the weights on the hips, and to return to the top press both feet into the floor and squeeze the glute muscles."
22,Front Squat,Dumbbells,Butt/Hips,"Stand with your feet slightly wider than hip-width, facing outward or turned slightly outwards while holding a dumbbell in each hand by your sides, with palms facing inwards. Pull shoulders down and back. Stiffen your core and abdominal muscles to stabilize your spine. Curl the dumbbells to a starting position where they rest on the front edge of your shoulders. Hold your chest up and out, tilt your head slightly up, and shift your weight over your heels. Start the downward phase by first shifting your hips backwards then downwards to create a hinge-like movement at your knees. As you lower your hips the knees will then start to shift forward slowly. Attempt to keep your back flat. Continue to lower yourself until your thighs are parallel or almost parallel with the floor, or until your heels begin to lift off the floor, or until your torso begins to round or flex forward. While maintaining your back, chest and head-up position, exhale and extend the hips and knees by pushing your feet into the floor through your heels. The hips and torso need to rise together while keeping the heels flat on the floor and knees aligned over the second toe. Continue extending until you reach your starting position.  "
293,Glute Press,Weight Machines/Selectorized,Butt/Hips,"Adjust the pad to the proper height. Grasp the handles with elbows in a straight line with the hands and under the shoulders. Set the weight to the appropriate level before beginning. With the knees on the lower pad, place one foot on the rear platform. Press the foot into the platform and straighten the leg. Slowly return to the starting positing. Repeat for the desired number of reps before switching feet."
362,Goblet Squat,Dumbbells,Butt/Hips,"Stand with the feet about shoulder-width apart and hold a dumbbell in a vertical position directly in front of the chest. Keep the elbows close to the rib cage and the back straight while lowering into a squat. Continue lowering until the hips are below the knees, then push both feet into the floor and to return to the original standing position."
396,Bottom-up Press,Kettlebells,Chest,Stand with the feet hip-width apart so that the right foot is slightly in front of the left and hold a kettlebell in the right hand in a position by holding the top of the handle so that the bottom of the kettlebell is facing up. Keep a strong grip to maintain balance of the kettlebell. Push the right foot into the ground to shift the weight of the body forward while pressing the right arm straight overhead. Pull the right elbow back down to the rib cage to lower the weight.
5,Chest Press,Barbell and Bench,Chest,"Lie face up on a flat bench and grip a barbell with the hands slightly wider than shoulder-width. Press the feet into the ground and the hips into the bench while lifting the bar off the rack. Slowly lower the bar to the chest by allowing the elbows to bend out to the side. Stop when the elbows are just below the bench, and press feet into the floor to press the weight straight up to return to the starting position."
19,Chest Press,Bench and Dumbbells,Chest,"Grasp two dumbbells and lie supine (on your back) on a flat bench with your feet firmly placed on the floor or upon a raised platform to allow you to maintain a flat or neutral (flat) spine. Pull shoulders down and back to make firm contact with the bench. Signal your spotter for assistance in moving to your starting position. Grasp each dumbbell with a closed, pronated grip (palms facing forward, thumbs wrapped around the handle), press the dumbbells to a position level with or just below your eyes with the elbows fully extended. Maintain a neutral wrist position (avoid flexion/extension at the wrist joint).  Inhale and slowly lower the dumbbells in unison and in a controlled movement towards your mid-chest but moving slightly wider towards the armpits. Gently touch the dumbbells to your chest without bouncing, maintaining your neutral wrist position. Keep the elbows close to your sides (emphasizes more triceps) or flared out from the body (emphasizes more pectorals). Maintain all points of contact with the bench and floor/riser and avoid any arching in the low back. Exhale and gently press upwards to full elbow extension with the dumbbells positioned at or just below the level of your eyes. Maintain your points of contact with the bench and floor/riser, avoid arching your back during the lift and maintain neutral wrist position throughout the movement. At the end of the set, signal your spotter to assist you in taking the dumbbells and maintain a firm grip until the dumbbells are taken from your hands. "
311,Close-grip Bench Press,Barbell,Chest,"Lie face up on a barbell bench, then reach up and grip the bar with the hands directly in line with the shoulders and the elbows pointed towards the feet. Unrack the bar and bring it towards the chest by bending the elbows and keeping them close to the ribs. Push the feet into the floor and press the hips into the bench as the bar is pushed away from the chest to return to the starting position."
25,Incline Chest Press,Bench and Dumbbells,Chest,"Grasp two dumbbells and lie supine (on your back) on an incline bench angled between 45 and 60 degrees with your feet placed firmly on the floor or on a raised platform to allow you to maintain a neutral spine (flat to normal curvature). Pull shoulders down and back to make firm contact with the bench. Grasp each dumbbell with a closed, pronated grip (palms facing forward, thumbs wrapped around the handle) and press the dumbbells in unison to a level over your eyes or slightly higher, with your elbows fully extended. Maintain a neutral wrist position (avoid flexion / extension at the wrist joint). Inhale and slowly lower the dumbbells in unison and in a controlled movement towards your upper chest, but moving slightly wider towards the armpits. Gently touch the dumbbells to your chest without bouncing, maintaining your neutral wrist position. Exhale and gently press upwards to full elbow extension with the dumbbells positioned at your starting position. "
8,Forward Lunge,Barbell,Leg,"Place a barbell in a rack at approximately shoulder-height. Dip under the bar so that it rests behind the neck across the top of the back and shoulder blades and grip the bar with the hands a little wider than shoulder-width apart. Lift the chest and squeeze the shoulder blades together to keep the back straight through the entire movement. Stand up to bring the bar off the rack and take 2 steps backwards. Place both feet so that they are about hip-width apart, and step forward with the right leg. Lower the left knee almost to the floor without touching the ground. From the bottom of the movement push the right foot into the floor and pull back with the left leg to stand up. Alternate the legs for the desired number of repetitions."
319,Reverse Lunge,Barbell,Leg,"Place a barbell in a rack at about shoulder-height. Dip under the bar so that it rests behind the neck across the top of the back and the shoulder blades and grip the bar with hands a little wider than shoulder-width apart. Stand up to bring the bar off the rack and take one step backwards. With the feet about hip-width apart, slowly step backwards with the left leg. After the left foot hits the ground push back into the right hip to slowly lower the left knee towards the floor while keeping the chest raised towards the ceiling. Press the right foot into the ground and think about pulling the right knee backwards while swinging the left leg forward to return to standing."
317,Romanian Deadlift,Barbell,Leg,"Sit in the machine, positioning your back and sacrum (tailbone) flat against the machine's backrest. Place your feet on the resistance plate, toes pointing forward and adjust your seat and foot position so that the bend in your knees is at approximately 90 degrees with your heels flat. Lightly grasp any available handles to stabilize your upper extremity.  Contract your abdominal muscles to stabilize your spine. Slowly exhale while pushing the resistance plate away from your body by contracting your glutes, quadriceps and hamstrings. Keep your heels flat against the resistance plate and avoid any movement in the upper extremity. Continue extending your hips and knees until the knees reach a relaxed, extended position, with the heels still pressed firmly into the plate. Pause momentarily, then slowly return to your starting position by flexing (bending) the hips and knees and allowing the resistance plate to move towards you in a slow, controlled manner.  "
154,Seated Leg Press,Weight Machines/Selectorized,Leg,"Sit in the machine, positioning your back and sacrum (tailbone) flat against the machine's backrest. Place your feet on the resistance plate, toes pointing forward and adjust your seat and foot position so that the bend in your knees is at approximately 90 degrees with your heels flat. Lightly grasp any available handles to stabilize your upper extremity.  Contract your abdominal muscles to stabilize your spine, be careful to avoid movement in your low back throughout the exercise. Slowly exhale while pushing the resistance plate away from your body by contracting your glutes, quadriceps and hamstrings. Keep your heels flat against the resistance plate and avoid any movement in the upper extremity. Continue extending your hips and knees until the knees reach a relaxed, extended position, with the heels still pressed firmly into the plate. Pause momentarily, then slowly return to your starting position by flexing (bending) the hips and knees, and allowing the resistance plate to move towards you in a slow, controlled manner.  "
11,Back Squat,Barbell,Leg,"Place a barbell in a rack just below shoulder-height. Dip under the bar to put it behind the neck across the top of the back and grip the bar with the hands wider than shoulder-width apart. Lift the chest up and squeeze the shoulder blades together to keep the straight back throughout the entire movement. Stand up to bring the bar off the rack and step backwards, then place the feet so that they are a little wider than shoulder-width apart. Sit back into hips and keep the back straight and the chest up, squatting down so the hips are below the knees. From the bottom of the squat, press feet into the ground and push hips forward to return to the top of the standing position."
295,Lateral Shoulder Raise,Weight Machines/Selectorized,Shoulder,"Adjust the weight to the appropriate level before beginning. Sit facing the machine with the feet out in front and arms slightly bent and the pads resting just above the elbows. Keeping the arms bent at 90 degrees, lift the pads upward by pressing out through the elbows and raising the upper arms. Slowly return to the starting position."
368,Rotaional Overhead Press,Dumbbells,Shoulder,"Stand with the feet hip-width apart, hold one dumbbell in each hand with the palms facing each other and the weights in front of the shoulders. Keep the back straight and turn to the right, and when facing the 3 o°Øclock position press the right hand straight into the air. To lower the weight, pull the elbow back down and keep the back straight while turning to the left. When facing the 9 o°Øclock position on the left side, press the left hand straight into the air."
187,Seated Machine Close-Grip Shoulder Press,Weight Machines/Selectorized,Shoulder,"Sit with your back firmly supported against the backrest. Adjust the seat height so that the handles are level with your shoulders or just higher than your shoulders. Grasp the handles closest to your body firmly with a full grip (thumbs clasped around the handles) and maintain a neutral position with your wrists. Position your elbows pointing towards the front of your body. Position your feet firmly on the floor or on the foot rests to stabilize your body.  Stiffen your abdominal muscles to stabilize your spine, but do not press your low back into the backrest. Maintain the natural arch in your low back and avoid arching your back throughout the exercise.  Pull shoulders back and down and attempt to hold this position throughout the exercise. Gently exhale and slowly perform an upward pressing movement, extending your elbows overhead while maintaining a neutral wrist position, head aligned with your spine and avoiding arching your low back. Continue pressing until your elbows are fully extended, but not locked.  Pause momentarily then gently contract your lats (back muscles) to pull the handles back down towards your starting position, allowing your elbows to flex (bend) in a slow, controlled manner while returning to their starting forward-facing position. Repeat the movement. "
236,Barbell Jammers,Barbell,Abs,"Place the end of a standard barbell in a corner so that it will not move unnecessarily, place a weight on one end of the barbell with a collar so that the weight canít fall off during the exercise. Stand with your feet slightly wider than shoulder-width, your toes pointed forward or slightly outward facing the end of the barbell so that it is between both feet and directly under your center of gravity. Squat down by first shifting your hips backwards then downwards to create a hinge-like movement at your knees, as you lower your hips the knees will then start to shift forward slowly but try to control the amount of forward translation (movement) of the tibia (shinbone). Brace your core to keep your trunk stable and spine straight. Continue to lower yourself until your thighs are near, or parallel with the floor, or until your heels begin to lift off the floor, or until your torso begins to round or flex forward.  Lift the end of the barbell and firmly grasp it in both hands using a closed grip (thumbs wrapped around the bar). Position the end of the bar directly in front of your chest directly under your chin. Maintain your body position with the spine in neutral (normal-to-flat), shoulders depressed (no shrugging) with scapulae retracted (squeezing shoulder blades together). Keep your chest held up and out, head in line with your spine or slightly extended (raised), heels on the floor, and shoulders over or slightly in front of the bar. Your eyes should be facing forward or slightly upward. Push your feet into the ground and drive your hips forward to extend your legs and begin the upward phase of the movement by standing up while continuing to hold the end of the barbell in front of your chest.  Monitor your feet, ankles and knees; to maintain control of your feet and knees push the floor away from you while keeping your knees aligned over the second toe of each foot as you move up to a standing position. As you approach a full standing position quickly push through your heels, extending and pushing the hips towards an upright position, begin to press the end of the barbell upwards with both hands continuing to grip the end of the bar, stiffen your core and abdominal muscles to stabilize your spine. As the hips and knees reach full extension, continue pushing upward onto your toes at the ankle while pressing the bar overhead into full extension. The movement for the bar should start at the hips, travel through the trunk and continue through the shoulders and arms. Avoid arching your back during the overhead push. Roll up on your toes as you move your legs into triple extension "
